"Name","dummy","transformer_model","test_score"
"robust-sweep-4","6","roberta-base","0.4369114877589454"
"fanciful-sweep-3","3","distilbert-base-uncased","0.6076014381099127"
"glowing-sweep-2","3","roberta-base","0.5408464982681422"
"dulcet-sweep-1","0","distilbert-base-uncased","0.4671357748280825"
"atomic-sweep-45","14","distilbert-base-uncased","0.6103873545249262"
"fresh-sweep-44","14","roberta-base","0.5287206266318538"
"logical-sweep-43","14","bert-base-uncased","0.5800251481947188"
"scarlet-sweep-42","13","distilbert-base-uncased","0.5845468562617783"
"upbeat-sweep-41","13","roberta-base","0.6393292936000664"
"earnest-sweep-39","12","distilbert-base-uncased","0.6391263861847117"
"firm-sweep-38","12","roberta-base","0.5971855010660981"
"scarlet-sweep-37","12","bert-base-uncased","0.5909399553787952"
"efficient-sweep-36","11","distilbert-base-uncased","0.49253990284524635"
"curious-sweep-35","11","roberta-base","0.6340067632012486"
"misunderstood-sweep-34","11","bert-base-uncased","0.448295593885392"
"brisk-sweep-33","10","distilbert-base-uncased","0.6005958640028041"
"fluent-sweep-32","10","roberta-base","0.5841248303934871"
"atomic-sweep-31","10","bert-base-uncased","0.5558649495301079"
"comic-sweep-30","9","distilbert-base-uncased","0.6333979897725269"
"ancient-sweep-29","9","roberta-base","0.4985109199205824"
"summer-sweep-28","9","bert-base-uncased","0.6234769177964647"
"valiant-sweep-27","8","distilbert-base-uncased","0.4992920353982301"
"usual-sweep-26","8","roberta-base","0.5371955233706386"
"worldly-sweep-25","8","bert-base-uncased","0.4563276883290231"
"rosy-sweep-24","7","distilbert-base-uncased","0.5637327309062473"
"celestial-sweep-23","7","roberta-base","0.6742209631728046"
"glad-sweep-22","7","bert-base-uncased","0.6598093326643252"
"celestial-sweep-21","6","distilbert-base-uncased","0.6306024981631153"
"splendid-sweep-19","6","bert-base-uncased","0.5734735353892374"
"hopeful-sweep-18","5","distilbert-base-uncased","0.5114053278034775"
"silver-sweep-17","5","roberta-base","0.5499593826157595"
"crisp-sweep-16","5","bert-base-uncased","0.4793726002777551"
"dulcet-sweep-15","4","distilbert-base-uncased","0.6087740877408774"
"rare-sweep-14","4","roberta-base","0.5679333680374805"
"major-sweep-13","4","bert-base-uncased","0.587378640776699"
"radiant-sweep-10","3","bert-base-uncased","0.4619760729523969"
"desert-sweep-9","2","distilbert-base-uncased","0.6578187071144818"
"soft-sweep-8","2","roberta-base","0.6048394350993973"
"vital-sweep-7","2","bert-base-uncased","0.4995648389904265"
"breezy-sweep-6","1","distilbert-base-uncased","0.5760612727124582"
"revived-sweep-5","1","roberta-base","0.5649526387009473"
"crimson-sweep-4","1","bert-base-uncased","0.5752397558849172"
"zesty-sweep-2","0","roberta-base","0.36232229370185054"
"leafy-sweep-1","0","bert-base-uncased","0.5259697567389875"
"vocal-sweep-40","19","bert-base-uncased","0.23736780258519388"
"fine-sweep-39","19","bert-base-uncased","0.33238520926452664"
"avid-sweep-38","18","bert-base-uncased","0.26047283284944006"
"fragrant-sweep-37","18","bert-base-uncased","0.18373812038014783"
"easy-sweep-36","17","bert-base-uncased","0.16622551614610906"
"wobbly-sweep-35","17","bert-base-uncased","0.2318840579710145"
"unique-sweep-34","16","bert-base-uncased","0.2297872340425532"
"good-sweep-33","16","bert-base-uncased","0.25848142164781907"
"avid-sweep-32","15","bert-base-uncased","0.10372910415773684"
"avid-sweep-31","15","bert-base-uncased","0.27248201438848924"
"gallant-sweep-30","14","bert-base-uncased","0.2684715172024817"
"usual-sweep-29","14","bert-base-uncased","0.08650065530799476"
"olive-sweep-28","13","bert-base-uncased","0.1887705711519845"
"lemon-sweep-27","13","bert-base-uncased","0.20658227848101263"
"silvery-sweep-26","12","bert-base-uncased","0.1049610496104961"
"kind-sweep-25","12","bert-base-uncased","0.2938578883982336"
"golden-sweep-24","11","bert-base-uncased","0.13591433278418452"
"true-sweep-23","11","bert-base-uncased","0.27106227106227104"
"laced-sweep-22","10","bert-base-uncased","0.1723955579058699"
"exalted-sweep-21","10","bert-base-uncased","0.30460624071322434"
"scarlet-sweep-20","9","bert-base-uncased","0.24269167126309985"
"lunar-sweep-19","9","bert-base-uncased","0.2624113475177305"
"lyric-sweep-18","8","bert-base-uncased","0.16945493793847816"
"lemon-sweep-17","8","bert-base-uncased","0.15846994535519127"
"fresh-sweep-16","7","bert-base-uncased","0.24446786090621708"
"helpful-sweep-15","7","bert-base-uncased","0.2510822510822511"
"cool-sweep-14","6","bert-base-uncased","0.2129678439641539"
"jumping-sweep-13","6","bert-base-uncased","0.28212894850713977"
"visionary-sweep-12","5","bert-base-uncased","0.2385242385242385"
"lucky-sweep-11","5","bert-base-uncased","0.29440852034994297"
"whole-sweep-10","4","bert-base-uncased","0.17128953771289537"
"dainty-sweep-9","4","bert-base-uncased","0.24219489120151372"
"wise-sweep-8","3","bert-base-uncased","0.18467782851344497"
"glowing-sweep-7","3","bert-base-uncased","0.2490075784915193"
"expert-sweep-6","2","bert-base-uncased","0.15025611838360842"
"faithful-sweep-5","2","bert-base-uncased","0.1852654387865655"
"sweepy-sweep-4","1","bert-base-uncased","0.17727272727272728"
"eternal-sweep-3","1","bert-base-uncased","0.13441483198146004"
"solar-sweep-2","0","bert-base-uncased","0.25141859450021825"
"royal-sweep-1","0","bert-base-uncased","0.225607544432354"
"curious-sweep-119","9","bert-base-uncased",""
"fine-sweep-118","9","bert-base-uncased",""
"misunderstood-sweep-117","9","bert-base-uncased",""
"olive-sweep-116","9","bert-base-uncased","0.39382005452893065"
"crisp-sweep-115","9","bert-base-uncased",""
"ancient-sweep-114","8","bert-base-uncased",""
"breezy-sweep-113","8","bert-base-uncased","0.4862656712212988"
"royal-sweep-112","8","bert-base-uncased",""
"legendary-sweep-111","8","bert-base-uncased","0.4174956114686951"
"wild-sweep-110","8","bert-base-uncased",""
"generous-sweep-109","8","bert-base-uncased",""
"volcanic-sweep-108","7","bert-base-uncased",""
"youthful-sweep-107","7","bert-base-uncased",""
"lucky-sweep-106","7","bert-base-uncased","0.4617912900575185"
"laced-sweep-105","7","bert-base-uncased","0"
"upbeat-sweep-104","7","bert-base-uncased","0.4862932061978546"
"fresh-sweep-103","7","bert-base-uncased","0.42312072892938496"
"ruby-sweep-102","6","bert-base-uncased","0.40073270395941946"
"confused-sweep-101","6","bert-base-uncased",""
"autumn-sweep-99","6","bert-base-uncased",""
"dainty-sweep-98","6","bert-base-uncased",""
"tough-sweep-97","6","bert-base-uncased","0.4686935580975316"
"gallant-sweep-96","5","bert-base-uncased","0.4550797649034425"
"exalted-sweep-94","5","bert-base-uncased","0.44653282073188094"
"polar-sweep-95","5","bert-base-uncased","0.436085718567361"
"different-sweep-93","5","bert-base-uncased","0.42637946296842727"
"rare-sweep-92","5","bert-base-uncased","0.47390521895620874"
"classic-sweep-91","5","bert-base-uncased","0.4105546886083132"
"confused-sweep-90","4","bert-base-uncased","0.5299828669331811"
"absurd-sweep-89","4","bert-base-uncased","0.4427947598253275"
"effortless-sweep-88","4","bert-base-uncased","0.5112287226433987"
"happy-sweep-87","4","bert-base-uncased","0.42289684337713335"
"crisp-sweep-86","4","bert-base-uncased","0.4793055340257325"
"royal-sweep-85","4","bert-base-uncased","0.3686415320167564"
"lemon-sweep-84","3","bert-base-uncased","0.4359595383957829"
"noble-sweep-83","3","bert-base-uncased","0.4517021865485746"
"eager-sweep-82","3","bert-base-uncased","0.44118074741893265"
"morning-sweep-81","3","bert-base-uncased","0.44093178036605657"
"pleasant-sweep-80","3","bert-base-uncased","0.408738548273432"
"drawn-sweep-79","3","bert-base-uncased","0.43154016212232865"
"eager-sweep-78","2","bert-base-uncased","0.4399708242159008"
"northern-sweep-77","2","bert-base-uncased","0.4553240079931487"
"lunar-sweep-76","2","bert-base-uncased","0.46254166062889435"
"twilight-sweep-75","2","bert-base-uncased",""
"stellar-sweep-74","2","bert-base-uncased","0.44827087252206627"
"fearless-sweep-73","2","bert-base-uncased","0.4656855602506193"
"astral-sweep-72","1","bert-base-uncased","0.47283406754772395"
"ethereal-sweep-70","1","bert-base-uncased","0.4139114160948222"
"sunny-sweep-69","1","bert-base-uncased","0.5008377760853009"
"sleek-sweep-68","1","bert-base-uncased","0.4218817127309179"
"bumbling-sweep-67","1","bert-base-uncased","0.41743688784659955"
"morning-sweep-66","0","bert-base-uncased","0.3889612080187451"
"leafy-sweep-65","0","bert-base-uncased","0.473262796682871"
"kind-sweep-64","0","bert-base-uncased","0.48883234379417584"
"worldly-sweep-63","0","bert-base-uncased","0.463076703328096"
"mild-sweep-62","0","bert-base-uncased","0.4849755415793152"
"ethereal-sweep-61","0","bert-base-uncased","0.3931203931203931"
"fast-sweep-60","9","bert-base-uncased","0.1748135874067937"
"wild-sweep-59","9","bert-base-uncased",""
"wobbly-sweep-58","9","bert-base-uncased",""
"elated-sweep-57","9","bert-base-uncased","0.19987349778621125"
"usual-sweep-56","9","bert-base-uncased","0.26506024096385544"
"driven-sweep-54","8","bert-base-uncased","0.1728476821192053"
"expert-sweep-53","8","bert-base-uncased","0.2941427960666952"
"snowy-sweep-52","8","bert-base-uncased","0.26345609065155806"
"peach-sweep-51","8","bert-base-uncased",""
"swept-sweep-50","8","bert-base-uncased","0.2715067130780706"
