"Name","dummy","run_type","test_score"
"sweepy-sweep-40","19","baseline","0.4392699811202014"
"neat-sweep-39","19","contrastive","0.428716167317991"
"swept-sweep-38","18","baseline","0.4052422323663673"
"comfy-sweep-37","18","contrastive","0.47052154195011336"
"devout-sweep-36","17","baseline","0.4374816983894583"
"blooming-sweep-35","17","contrastive","0.4815329933549683"
"sunny-sweep-34","16","baseline","0.4285072615661027"
"exalted-sweep-33","16","contrastive","0.4492123030757689"
"exalted-sweep-32","15","baseline","0.3879755753875059"
"jolly-sweep-31","15","contrastive","0.4459899378514353"
"giddy-sweep-30","14","baseline","0.3866969009826153"
"sweepy-sweep-29","14","contrastive","0.4431120210587891"
"fresh-sweep-28","13","baseline","0.43654515201936167"
"flowing-sweep-27","13","contrastive","0.4632885211995864"
"rich-sweep-26","12","baseline","0.4258487194758785"
"driven-sweep-25","12","contrastive","0.488828089375285"
"eager-sweep-24","11","baseline","0.42541020623212406"
"summer-sweep-23","11","contrastive","0.4132609316947699"
"volcanic-sweep-22","10","baseline","0.3960308056872038"
"zesty-sweep-21","10","contrastive","0.43961280714817574"
"trim-sweep-20","9","baseline","0.394990366088632"
"driven-sweep-19","9","contrastive","0.46406693560436274"
"mild-sweep-18","8","baseline","0.4137299771167048"
"prime-sweep-17","8","contrastive","0.45646925152677176"
"lucky-sweep-16","7","baseline","0.4358636829018576"
"dark-sweep-15","7","contrastive","0.4253094910591472"
"sandy-sweep-14","6","baseline","0.3763440860215054"
"northern-sweep-13","6","contrastive","0.4541612009911092"
"chocolate-sweep-12","5","baseline","0.4245253657018363"
"sleek-sweep-11","5","contrastive","0.44074407440744073"
"sunny-sweep-10","4","baseline","0.33827705900915117"
"vital-sweep-9","4","contrastive","0.44736478074422464"
"avid-sweep-8","3","baseline","0.3872255489021956"
"sage-sweep-7","3","contrastive","0.48124191461837"
"ethereal-sweep-6","2","baseline","0.3286933093848226"
"blooming-sweep-5","2","contrastive","0.34158954817637455"
"floral-sweep-4","1","baseline","0.4402254523880154"
"polar-sweep-3","1","contrastive","0.4374448042390344"
"azure-sweep-2","0","baseline","0.38595391127135914"
"worldly-sweep-1","0","contrastive","0.4175792917081496"
