"Name","dummy","run_type","test_score"
"vibrant-sweep-40","19","baseline","0.1642156862745098"
"silver-sweep-39","19","contrastive",""
"dashing-sweep-38","18","baseline","0.17533129459734964"
"legendary-sweep-37","18","contrastive","0.2293534686172723"
"daily-sweep-36","17","baseline","0.15338526063511085"
"astral-sweep-35","17","contrastive","0.2336217552533993"
"floral-sweep-34","16","baseline","0.1882673942701228"
"warm-sweep-33","16","contrastive",""
"laced-sweep-32","15","baseline","0.29101283880171186"
"pleasant-sweep-31","15","contrastive",""
"blooming-sweep-30","14","baseline","0.12684989429175475"
"youthful-sweep-29","14","contrastive",""
"silver-sweep-28","13","baseline","0.2523158359064843"
"fallen-sweep-27","13","contrastive","0.26021934197407776"
"stellar-sweep-26","12","baseline","0.2258414766558089"
"worthy-sweep-25","12","contrastive",""
"lyric-sweep-24","11","baseline","0.21459642339294344"
"soft-sweep-23","11","contrastive","0.35532102022867196"
"fresh-sweep-22","10","baseline","0.1893043066729768"
"light-sweep-21","10","contrastive","0.2149310508796957"
"leafy-sweep-20","9","baseline","0.2192622950819672"
"devoted-sweep-19","9","contrastive",""
"atomic-sweep-18","8","baseline","0.17232640648758235"
"ethereal-sweep-17","8","contrastive",""
"silvery-sweep-16","7","baseline","0.19159981123171307"
"gentle-sweep-15","7","contrastive",""
"smart-sweep-14","6","baseline","0.2300292764533668"
"pretty-sweep-13","6","contrastive","0.22817701989443767"
"happy-sweep-12","5","baseline","0.2501281394156843"
"effortless-sweep-11","5","contrastive","0.15073115860517436"
"neat-sweep-10","4","baseline","0.185595567867036"
"swept-sweep-9","4","contrastive","0.2475171886936593"
"comic-sweep-8","3","baseline","0.21626373626373627"
"dry-sweep-7","3","contrastive",""
"stellar-sweep-6","2","baseline","0.2688821752265861"
"stellar-sweep-5","2","contrastive","0.22487379531895368"
"kind-sweep-4","1","baseline","0.16789739603575593"
"cosmic-sweep-3","1","contrastive","0.24525805028672257"
"fearless-sweep-2","0","baseline","0.21780208851317753"
"feasible-sweep-1","0","contrastive","0.2639751552795031"
