"Name","dummy","run_type","test_score"
"vocal-sweep-40","19","baseline","0.23736780258519388"
"fine-sweep-39","19","contrastive","0.33238520926452664"
"avid-sweep-38","18","baseline","0.26047283284944006"
"fragrant-sweep-37","18","contrastive","0.18373812038014783"
"easy-sweep-36","17","baseline","0.16622551614610906"
"wobbly-sweep-35","17","contrastive","0.2318840579710145"
"unique-sweep-34","16","baseline","0.2297872340425532"
"good-sweep-33","16","contrastive","0.25848142164781907"
"avid-sweep-32","15","baseline","0.10372910415773684"
"avid-sweep-31","15","contrastive","0.27248201438848924"
"gallant-sweep-30","14","baseline","0.2684715172024817"
"usual-sweep-29","14","contrastive","0.08650065530799476"
"olive-sweep-28","13","baseline","0.1887705711519845"
"lemon-sweep-27","13","contrastive","0.20658227848101263"
"silvery-sweep-26","12","baseline","0.1049610496104961"
"kind-sweep-25","12","contrastive","0.2938578883982336"
"golden-sweep-24","11","baseline","0.13591433278418452"
"true-sweep-23","11","contrastive","0.27106227106227104"
"laced-sweep-22","10","baseline","0.1723955579058699"
"exalted-sweep-21","10","contrastive","0.30460624071322434"
"scarlet-sweep-20","9","baseline","0.24269167126309985"
"lunar-sweep-19","9","contrastive","0.2624113475177305"
"lyric-sweep-18","8","baseline","0.16945493793847816"
"lemon-sweep-17","8","contrastive","0.15846994535519127"
"fresh-sweep-16","7","baseline","0.24446786090621708"
"helpful-sweep-15","7","contrastive","0.2510822510822511"
"jumping-sweep-13","6","contrastive","0.28212894850713977"
"cool-sweep-14","6","baseline","0.2129678439641539"
"visionary-sweep-12","5","baseline","0.2385242385242385"
"lucky-sweep-11","5","contrastive","0.29440852034994297"
"whole-sweep-10","4","baseline","0.17128953771289537"
"dainty-sweep-9","4","contrastive","0.24219489120151372"
"wise-sweep-8","3","baseline","0.18467782851344497"
"glowing-sweep-7","3","contrastive","0.2490075784915193"
"expert-sweep-6","2","baseline","0.15025611838360842"
"faithful-sweep-5","2","contrastive","0.1852654387865655"
"sweepy-sweep-4","1","baseline","0.17727272727272728"
"eternal-sweep-3","1","contrastive","0.13441483198146004"
"solar-sweep-2","0","baseline","0.25141859450021825"
"royal-sweep-1","0","contrastive","0.225607544432354"
